CWEID,SampleID,Modified,CodeQL,Bandit,Manual
CWE-020,author_1.py,0,0,0,0
CWE-020,author_2.py,0,0,0,0
CWE-020,codeql_1.py,0,0,0,0
CWE-020,codeql_2.py,0,0,0,0
CWE-020,codeql_3.py,0,0,0,0
CWE-020,codeql_4.py,0,0,0,0
CWE-022,author_1.py,0,0,0,0
CWE-022,author_2.py,0,0,0,0
CWE-022,codeql_1.py,0,0,0,0
CWE-022,codeql_2.py,0,0,0,0
CWE-078,author_1.py,0,0,0,0
CWE-078,codeql_1.py,0,0,0,0
CWE-079,codeql_1.py,0,0,0,0
CWE-079,codeql_2.py,0,0,0,0
CWE-080,author_1.py,0,0,0,0
CWE-089,author_1.py,0,0,0,0
CWE-089,codeql_1.py,0,0,0,0
CWE-090,codeql_1.py,0,0,0,0
CWE-090,codeql_2.py,0,0,0,0
CWE-094,author_1.py,0,0,0,0
CWE-094,codeql_1.py,0,0,0,0
CWE-095,author_1.py,0,0,0,0
CWE-116,author_1.py,0,0,0,0
CWE-116,codeql_1.py,0,0,0,0
CWE-117,codeql_1.py,0,0,0,0
CWE-117,mitre_1.py,0,0,0,0
CWE-200,mitre_1.py,0,0,0,0
CWE-209,codeql_1.py,0,0,0,0
CWE-215,author_1.py,0,0,0,0
CWE-215,codeql_1.py,0,0,0,0
CWE-259,author_1.py,0,0,0,0
CWE-259,author_2.py,0,0,0,0
CWE-284,author_1.py,0,0,0,0
CWE-285,codeql_1.py,0,0,0,0
CWE-295,author_1.py,0,0,0,0
CWE-295,author_2.py,0,0,0,0
CWE-295,codeql_1.py,0,0,0,0
CWE-306,pearce_1.py,0,0,0,0
CWE-312,codeql_1.py,0,0,0,0
CWE-319,author_1.py,0,0,0,0
CWE-319,author_2.py,0,0,0,0
CWE-326,author_1.py,0,0,0,0
CWE-326,author_2.py,0,0,0,0
CWE-327,codeql_1.py,0,0,0,0
CWE-327,codeql_2.py,0,0,0,0
CWE-327,codeql_3.py,0,0,0,0
CWE-327,codeql_4.py,0,0,0,0
CWE-330,author_1.py,0,0,0,0
CWE-352,codeql_1.py,0,0,0,0
CWE-377,codeql_1.py,0,0,0,0
CWE-434,pearce_1.py,0,0,0,0
CWE-434,pearce_2.py,0,0,0,0
CWE-502,author_1.py,0,0,0,0
CWE-502,author_2.py,0,0,0,0
CWE-502,codeql_1.py,0,0,0,0
CWE-522,author_1.py,0,0,0,0
CWE-522,pearce_1.py,0,0,0,0
CWE-601,author_1.py,0,0,0,0
CWE-601,codeql_1.py,0,0,0,0
CWE-605,author_1.py,0,0,0,0
CWE-611,author_1.py,0,0,0,0
CWE-611,codeql_1.py,0,0,0,0
CWE-643,codeql_1.py,0,0,0,0
CWE-703,author_1.py,0,0,0,0
CWE-703,author_2.py,0,0,0,0
CWE-703,author_3.py,0,0,0,0
CWE-730,author_1.py,0,0,0,0
CWE-730,codeql_1.py,0,0,0,0
CWE-730,codeql_2.py,0,0,0,0
CWE-732,author_1.py,0,0,0,0
CWE-776,codeql_1.py,0,0,0,0
CWE-798,author_1.py,0,0,0,0
CWE-798,codeql_1.py,0,0,0,0
CWE-918,codeql_1.py,0,0,0,0
CWE-918,codeql_2.py,0,0,0,0
